Phrase,Meaning,Example,Source
agree,賛成する,,[Leap]見出し番号 1
oppose,に反対する,,[Leap]見出し番号 2
advise,に忠告する,,[Leap]見出し番号 3
tip,助言,,[Leap]見出し番号 4
discuss,について話し合う,,[Leap]見出し番号 5
blame,に責任があるとする,,[Leap]見出し番号 6
argue,と主張する,,[Leap]見出し番号 7
claim,と主張する,,[Leap]見出し番号 8
complain,文句を言う,,[Leap]見出し番号 9
offer,を申し出る,,[Leap]見出し番号 10
suggest,を示唆する,,[Leap]見出し番号 11
recommend,を推薦する,,[Leap]見出し番号 12
grateful,感謝している,,[Leap]見出し番号 13
apologize,謝る,,[Leap]見出し番号 14
excuse,言い訳,,[Leap]見出し番号 15
celebrate,を祝う,,[Leap]見出し番号 16
congratulate,を祝う,,[Leap]見出し番号 17
admire,を称賛する,,[Leap]見出し番号 18
impress,に感銘を与える,,[Leap]見出し番号 19
award,賞,,[Leap]見出し番号 20
explain,を説明する,,[Leap]見出し番号 21
describe,を説明する,,[Leap]見出し番号 22
communicate,意思の疎通をはかる,,[Leap]見出し番号 23
express,を表現する,,[Leap]見出し番号 24
promise,約束,,[Leap]見出し番号 25
information,情報,,[Leap]見出し番号 26
technology,技術,,[Leap]見出し番号 27
research,研究,,[Leap]見出し番号 28
material,材料,,[Leap]見出し番号 29
artificial,人工的な,,[Leap]見出し番号 30
electric,電気の,,[Leap]見出し番号 31
invent,を発明する,,[Leap]見出し番号 32
discover,を発見する,,[Leap]見出し番号 33
develop,発達する,,[Leap]見出し番号 34
skill,技術,,[Leap]見出し番号 35
ability,能力,,[Leap]見出し番号 36
talent,才能,,[Leap]見出し番号 37
effort,努力,,[Leap]見出し番号 38
practice,練習,,[Leap]見出し番号 39
achieve,を達成する,,[Leap]見出し番号 40
manage,なんとかして?する,,[Leap]見出し番号 41
improve,を改善する,,[Leap]見出し番号 42
produce,を生産する,,[Leap]見出し番号 43
create,を創造する,,[Leap]見出し番号 44
establish,を確立する,,[Leap]見出し番号 45
form,を形成する,,[Leap]見出し番号 46
save,を省く,,[Leap]見出し番号 47
medicine,薬,,[Leap]見出し番号 48
patient,患者,,[Leap]見出し番号 49
condition,状態,,[Leap]見出し番号 50
medical,医療の,,[Leap]見出し番号 51
stress,ストレス,,[Leap]見出し番号 52
suffer,苦しむ,,[Leap]見出し番号 53
exercise,運動,,[Leap]見出し番号 54
breathe,呼吸する,,[Leap]見出し番号 55
thirsty,喉が渇いた,,[Leap]見出し番号 56
physical,身体的な,,[Leap]見出し番号 57
fever,熱,,[Leap]見出し番号 58
strength,体力,,[Leap]見出し番号 59
tear,涙,,[Leap]見出し番号 60
taste,の味がする,,[Leap]見出し番号 61
rule,規則,,[Leap]見出し番号 62
role,役割,,[Leap]見出し番号 63
habit,習慣,,[Leap]見出し番号 64
custom,習慣,,[Leap]見出し番号 65
tradition,伝統,,[Leap]見出し番号 66
society,社会,,[Leap]見出し番号 67
law,法律,,[Leap]見出し番号 68
ancestor,祖先,,[Leap]見出し番号 69
population,人口,,[Leap]見出し番号 70
native,母国の,,[Leap]見出し番号 71
abroad,海外へ,,[Leap]見出し番号 72
local,その土地の,,[Leap]見出し番号 73
survey,調査,,[Leap]見出し番号 74
value,価値,,[Leap]見出し番号 75
treasure,財宝,,[Leap]見出し番号 76
fashion,流行,,[Leap]見出し番号 77
public,大衆,,[Leap]見出し番号 78
evidence,証拠,,[Leap]見出し番号 79
vote,投票,,[Leap]見出し番号 80
government,政府,,[Leap]見出し番号 81
nation,国家,,[Leap]見出し番号 82
capital,首都,,[Leap]見出し番号 83
state,州,,[Leap]見出し番号 84
political,政治的な,,[Leap]見出し番号 85
price,価格,,[Leap]見出し番号 86
sum,金額,,[Leap]見出し番号 87
budget,予算,,[Leap]見出し番号 88
fee,料金,,[Leap]見出し番号 89
fare,運賃,,[Leap]見出し番号 90
bill,勘定,,[Leap]見出し番号 91
trade,貿易,,[Leap]見出し番号 92
wealth,富,,[Leap]見出し番号 93
economy,経済,,[Leap]見出し番号 94
cost,を要する,,[Leap]見出し番号 95
company,会社,,[Leap]見出し番号 96
task,仕事,,[Leap]見出し番号 97
earn,を稼ぐ,,[Leap]見出し番号 98
hurt,痛む,,[Leap]見出し番号 99
injure,を傷つける,,[Leap]見出し番号 100
damage,に損害を与える,,[Leap]見出し番号 101
destroy,を破壊する,,[Leap]見出し番号 102
ruin,を台無しにする,,[Leap]見出し番号 103
danger,危険,,[Leap]見出し番号 104
neighbor,近所の人,,[Leap]見出し番号 105
audience,聴衆,,[Leap]見出し番号 106
crowd,群衆,,[Leap]見出し番号 107
author,著者,,[Leap]見出し番号 108
staff,職員,,[Leap]見出し番号 109
clerk,店員,,[Leap]見出し番号 110
customer,客,,[Leap]見出し番号 111
passenger,乗客,,[Leap]見出し番号 112
elderly,年配の,,[Leap]見出し番号 113
female,女性の,,[Leap]見出し番号 114
head,向かう,,[Leap]見出し番号 115
follow,の後に付いていく,,[Leap]見出し番号 116
wander,歩き回る,,[Leap]見出し番号 117
travel,旅行する,,[Leap]見出し番号 118
pass,を通り過ぎる,,[Leap]見出し番号 119
likely,しそうだ,,[Leap]見出し番号 120
natural,当然の,,[Leap]見出し番号 121
certain,確かな,,[Leap]見出し番号 122
probably,おそらく,,[Leap]見出し番号 123
face,に直面する,,[Leap]見出し番号 124
avoid,を避ける,,[Leap]見出し番号 125
solve,を解決する,,[Leap]見出し番号 126
trouble,問題,,[Leap]見出し番号 127
issue,問題,,[Leap]見出し番号 128
cheer,に声援を送る,,[Leap]見出し番号 129
encourage,に促す,,[Leap]見出し番号 130
support,を支持する,,[Leap]見出し番号 131
prevent,を妨げる,,[Leap]見出し番号 132
deny,を否定する,,[Leap]見出し番号 133
enable,に可能ににする,,[Leap]見出し番号 134
succeed,成功する,,[Leap]見出し番号 135
miss,を逃がす,,[Leap]見出し番号 136
fail,失敗する,,[Leap]見出し番号 137
mistake,間違い,,[Leap]見出し番号 138
check,を調べる,,[Leap]見出し番号 139
